English,Italian,IPA,Tags,Notes
thing,cosa,/ˈkɔː.za/,A1;Noun,
war,guerra,/ˈɡwɛr.ra/,A1;Noun,
year,anno,/ˈan.no/,A1;Noun,
street,strada,/ˈstraː.da/,A1;Noun,
man,uomo,/ˈwɔː.mo/,A1;Noun,
son,figlio,/ˈfiʎ.ʎo/,A1;Noun,
day,giorno,/ˈdʒor.no/,A1;Noun,
night,notte,/ˈnɔt.te/,A1;Noun,
time,volta,/ˈvol.ta/,A1;Noun,
voice,voce,/ˈvoː.tʃe/,A1;Noun,
home,casa,/ˈkaː.za/,A1;Noun,
name,nome,/ˈnoː.me/,A1;Noun,
part,parte,/ˈpar.te/,A1;Noun,
evening,sera,/ˈseː.ra/,A1;Noun,
life,vita,/ˈviː.ta/,A1;Noun,
water,acqua,/ˈak.kwa/,A1;Noun,
time,tempo,/ˈtɛm.po/,A1;Noun,
friend,amico,/aˈmiː.ko/,A1;Noun,
woman,donna,/ˈdɔn.na/,A1;Noun,
done,fatto,/ˈfat.to/,A1;Noun,
hand,mano,/ˈmaː.no/,A1;Noun,
people,gente,/ˈdʒɛn.te/,A1;Noun,
eye,occhio,/ˈɔk.kjo/,A1;Noun,
love,amore,/aˈmoː.re/,A1;Noun,
now,ora,/ˈoː.ra/,A1;Noun,
history,storia,/ˈstoː.rja/,A1;Noun,
Mr.,signore,/siɲˈɲoː.re/,A1;Noun,
air,aria,/ˈaː.rja/,A1;Noun,
"country, town forza",paese,/paˈeː.ze/,A1;Noun,
moment,momento,/moˈmɛn.to/,A1;Noun,
head,testa,/ˈtɛs.ta/,A1;Noun,
way,modo,/ˈmɔː.do/,A1;Noun,
reason,ragione,/raˈdʒoː.ne/,A1;Noun,
world,mondo,/ˈmon.do/,A1;Noun,
sea,mare,/ˈmaː.re/,A1;Noun,
word,parola,/paˈroː.la/,A1;Noun,
month,mese,/ˈmeː.ze/,A1;Noun,
father,padre,/ˈpaː.dre/,A1;Noun,
head,capo,/ˈkaː.po/,A1;Noun,
point,punto,/ˈpun.to/,A1;Noun,
light,luce,/ˈluː.tʃe/,A1;Noun,
work,lavoro,/laˈvoː.ro/,A1;Noun,
Sun,sole,/ˈsoː.le/,A1;Noun,
state,stato,/ˈstaː.to/,A1;Noun,
family,famiglia,/faˈmiʎ.ʎa/,A1;Noun,
case,caso,/ˈkaː.zo/,A1;Noun,
foot,piede,/ˈpjɛː.de/,A1;Noun,
city,città,/tʃitˈta/,A1;Noun,
person,persona,/perˈsoː.na/,A1;Noun,
street,via,/ˈviː.a/,A1;Noun,
Research,ricerca,/riˈtʃɛr.ka/,A1;Noun,
sense,senso,/ˈsɛn.so/,A1;Noun,
square,piazza,/ˈpjats.tsa/,A1;Noun,
party,festa,/ˈfɛs.ta/,A1;Noun,
punishment,pena,/ˈpeː.na/,A1;Noun,
countryside,campagna,/kamˈpaɲ.ɲa/,A1;Noun,
memory,ricordo,/riˈkor.do/,A1;Noun,
flower,fiore,/ˈfjoː.re/,A1;Noun,
tree,albero,/ˈal.be.ro/,A1;Noun,
position,posizione,/po.ziˈt͡sjoː.ne/,A1;Noun,
wine,vino,/ˈviː.no/,A1;Noun,
species,specie,/ˈspɛː.tʃe/,A1;Noun,
dream,sogno,/ˈsoɲ.ɲo/,A1;Noun,
fire,fuoco,/ˈfwɔː.ko/,A1;Noun,
movement,movimento,/mo.viˈmɛn.to/,A1;Noun,
freedom,libertà,/li.berˈta/,A1;Noun,
price,prezzo,/ˈprɛt.tso/,A1;Noun,
result,risultato,/ri.zulˈtaː.to/,A1;Noun,
cause,causa,/ˈkau.za/,A1;Noun,
importance,importanza,/im.porˈtan.tsa/,A1;Noun,
period,periodo,/peˈriː.o.do/,A1;Noun,
sister,sorella,/soˈrɛl.la/,A1;Noun,
attention,attenzione,/at.tenˈt͡sjoː.ne/,A1;Noun,
effect,effetto,/efˈfɛt.to/,A1;Noun,
author,autore,/auˈtoː.re/,A1;Noun,
garden,giardino,/dʒarˈdiː.no/,A1;Noun,
difficulty,difficoltà,/dif.fi.kolˈta/,A1;Noun,
activities,attività,/at.ti.viˈta/,A1;Noun,
passion,passione,/pasˈsjoː.ne/,A1;Noun,
will,volontà,/vo.lonˈta/,A1;Noun,
commission,commissione,/kom.misˈsjoː.ne/,A1;Noun,
face,volto,/ˈvol.to/,A1;Noun,
finger,dito,/ˈdiː.to/,A1;Noun,
basis,base,/ˈbaː.ze/,A1;Noun,
Start,inizio,/iˈniː.t͡sjo/,A1;Noun,
character,carattere,/kaˈrat.te.re/,A1;Noun,
program,programma,/proˈɡram.ma/,A1;Noun,
consciousness,coscienza,/koʃˈʃɛn.t͡sa/,A1;Noun,
show,spettacolo,/spetˈtaː.ko.lo/,A1;Noun,
guard,guardia,/ˈɡwar.dja/,A1;Noun,
title,titolo,/ˈtiː.to.lo/,A1;Noun,
memory,memoria,/meˈmoː.rja/,A1;Noun,
communication,comunicazione,/ko.mu.ni.katˈt͡sjoː.ne/,A1;Noun,
ground,terreno,/terˈreː.no/,A1;Noun,
phenomenon,fenomeno,/feˈnɔː.me.no/,A1;Noun,
animal,animale,/a.niˈmaː.le/,A1;Noun,
May,maggio,/ˈmad.dʒo/,A1;Noun,
direction,direzione,/di.reˈt͡sjoː.ne/,A1;Noun,
press,stampa,/ˈstam.pa/,A1;Noun,
excellence,eccellenza,/et.t͡ʃelˈlɛn.t͡sa/,A1;Noun,
money,denaro,/deˈnaː.ro/,A1;Noun,
disease,malattia,/ma.latˈtiː.a/,A1;Noun,
destiny,destino,/deˈstiː.no/,A1;Noun,
science,scienza,/ˈʃɛn.t͡sa/,A1;Noun,
duty,dovere,/doˈveː.re/,A1;Noun,
function,funzione,/funˈt͡sjoː.ne/,A1;Noun,
iron,ferro,/ˈfɛr.ro/,A1;Noun,
result,conseguenza,/kon.seˈɡwɛn.t͡sa/,A1;Noun,
tip,punta,/ˈpun.ta/,A1;Noun,
wall,parete,/paˈreː.te/,A1;Noun,
kingdom,regno,/ˈreɲ.ɲo/,A1;Noun,
tooth,dente,/ˈdɛn.te/,A1;Noun,
era,epoca,/ˈɛː.po.ka/,A1;Noun,
distance,distanza,/diˈstan.t͡sa/,A1;Noun,
moon,luna,/ˈluː.na/,A1;Noun,
taste,gusto,/ˈɡus.to/,A1;Noun,
province,provincia,/proˈvin.t͡ʃa/,A1;Noun,
impression,impressione,/im.presˈsjoː.ne/,A1;Noun,
wish,voglia,/ˈvɔʎ.ʎa/,A1;Noun,
institute,istituto,/is.tiˈtuː.to/,A1;Noun,
difference,differenza,/dif.feˈrɛn.t͡sa/,A1;Noun,
painting,quadro,/ˈkwaː.dro/,A1;Noun,
control,controllo,/konˈtrɔl.lo/,A1;Noun,
grace,grazia,/ˈɡrat.t͡sja/,A1;Noun,
front,fronte,/ˈfron.te/,A1;Noun,
past,passato,/pasˈsaː.to/,A1;Noun,
bill,conto,/ˈkon.to/,A1;Noun,
space,spazio,/ˈspat.t͡sjo/,A1;Noun,
body,corpo,/ˈkor.po/,A1;Noun,
star,stella,/ˈstel.la/,A1;Noun,
number,numero,/ˈnuː.me.ro/,A1;Noun,
race,corsa,/ˈkor.sa/,A1;Noun,
minister,ministro,/miˈnis.tro/,A1;Noun,
